"","Country","Region","Election / Renewal","Year","Month","Chamber Type","Chamber Total Seats","Total women","% Of Women in Chamber","NOTES"
"17","Albania","EUR","Yes",1958,NA,"Single","187","17","9.0909090909090912E-2",NA
"18","Albania","EUR","Yes",1962,NA,"Single","214","25","0.11682242990654206",NA
"19","Albania","EUR","Yes",1966,NA,"Single","240","39","0.16250000000000001",NA
"20","Albania","EUR","Yes",1970,NA,"Single","264","72","0.27272727272727271",NA
"21","Albania","EUR","Yes",1974,NA,"Single","250","83","0.33200000000000002",NA
"22","Albania","EUR","Yes",1978,NA,"Single","250","81","0.32400000000000001",NA
"23","Albania","EUR","Yes",1982,NA,"Single","250","76","0.30399999999999999",NA
"24","Albania","EUR","Yes",1987,NA,"Single","250","72","0.28799999999999998",NA
"25","Albania","EUR","Yes",1991,NA,"Single","250","9","3.5999999999999997E-2",NA
"26","Albania","EUR","Yes",1992,NA,"Single","140","8","5.7142857142857141E-2",NA
"27","Albania","EUR","Yes",1996,NA,"Single","140","17","0.12142857142857143",NA
"28","Albania","EUR","Yes",2001,NA,"Single","140","8","5.7142857142857141E-2",NA
"29","Albania","EUR","Yes",2005,NA,"Single","140","10","7.1428571428571425E-2",NA
"30","Albania","EUR","Yes",2009,NA,"Single","140","23","0.16428571428571428",NA
"31","Albania","EUR","Yes",2013,"january","Single","140","22","0.15714285714285714",NA
"32","Albania","EUR","Yes",2017,"June","Single","140","39","0.27857142857142858",NA
"33","Algeria","MENA","Yes",1962,NA,"Single","196","10","5.1020408163265307E-2","First legislature of Algeria after the country became independent on 5 July 1962"
"34","Algeria","MENA","Yes",1964,NA,"Single","138","2","1.4492753623188406E-2","The Assembly was later dissolved following a military coup d'Etat on 19 June 1965."
"35","Algeria","MENA","Yes",1977,NA,"Single","261","10","3.8314176245210725E-2",NA
"36","Algeria","MENA","Yes",1982,NA,"Single","282","4","1.4184397163120567E-2",NA
"37","Algeria","MENA","Yes",1987,NA,"Single","295","7","2.3728813559322035E-2",NA
"38","Algeria","MENA","Yes",1991,NA,"Temporary Assembly","60","6","0.1","Legislative elections organized for the renewal of the National Assembly were cancelled on 12 January 1992 following the first round of voting.  Presidential Decree N° 02-39 of 4 February 1992 established a 60-member Consultative National Council all appointed for an indeterminate period; women among the members of the Council:  10.0%."
"39","Algeria","MENA","Yes",1994,NA,"Temporary Assembly","178","12","6.741573033707865E-2","The nominal number of seats is 200, but there were 22 vacancies at the time. All appointed; Pursuant to Article 27 of Presidential Decree N° 94-49 of 29 January 1994, the National Transitional Council comprises 200 designated members, depending on the case, by the State or their group and vested by decree for the entire transitional period."
"40","Algeria","MENA","Yes",1997,NA,"Single","183","12","6.5573770491803282E-2",NA
"41","Algeria","MENA","Yes",2002,NA,"Lower","389","24","6.1696658097686374E-2",NA
"42","Algeria","MENA","Yes",2002,"August","Lower","389","24","6.1696658097686374E-2",NA
"43","Algeria","MENA","Yes",2003,NA,"Upper","144","28","0.19444444444444445","Indirect elections for only half of the 96 seats up for election (remaining 48 appointed)."
"44","Algeria","MENA","Yes",2006,NA,"Upper","129","4","3.1007751937984496E-2","Partial renewal for 57 MPs: 48 members/0 women indirectly elected; 9 members/2 women appointed."
"45","Algeria","MENA","Yes",2007,"May- June","Lower","389","28","7.1979434447300775E-2",NA
"46","Algeria","MENA","Yes",2007,"May- September","Lower","389","30","7.7120822622107968E-2",NA
"47","Algeria","MENA","Yes",2009,NA,"Upper","136","7","5.1470588235294115E-2","Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office."
"48","Algeria","MENA","Yes",2012,NA,"Lower","462","146","0.31601731601731603","The Green Algeria Coalition comprised the Movement of Society for Peace (MSP, which had left the tripartite presidential alliance in January 2012; the Islamic Renaissance Movement (Ennahda) and the National Reform Movement. Eight seats are reserved for Algerians residing abroad."
"49","Algeria","MENA","Yes",2012,NA,"Upper","142","10","7.0422535211267609E-2","Elections were held for half of the 96 elected seats of the Council of the Nation on the normal expiry of the members' term of office."
"50","Algeria","MENA","Yes",2015,NA,"Upper","144","10","6.9444444444444448E-2",NA
"51","Algeria","MENA","Yes",2017,"May","Lower","462","119","0.25757575757575757",NA
"52","Algeria","MENA","Yes",2018,"December","Upper","132","9","6.8181818181818177E-2","1 woman indirectly elected"
"53","Andorra","EUR","Yes",1993,NA,"Single","28","1","3.5714285714285712E-2","First Parliament of Andorra, which became an independent sovereign State on 4 May 1993."
"54","Andorra","EUR","Yes",2001,NA,"Single","28","2","7.1428571428571425E-2",NA
"55","Andorra","EUR","Yes",2001,NA,"Single","28","4","0.14285714285714285",NA
"56","Andorra","EUR","Yes",2005,NA,"Single","28","9","0.32142857142857145",NA
"57","Andorra","EUR","Yes",2009,NA,"Single","28","9","0.32142857142857145",NA
"58","Andorra","EUR","Yes",2009,"June","Single","28","10","0.35714285714285715",NA
"59","Andorra","EUR","Yes",2011,"april- april","Single","28","15","0.5357142857142857","Elections were held for all the seats in the General Council following the early dissolution of this body on 15 February 2011. Elections to the House of Representatives had previously taken place in April 2009."
"60","Andorra","EUR","Yes",2011,"april-december","Single","28","14","0.5",NA
"61","Andorra","EUR","Yes",2015,NA,"Single","28","11","0.39285714285714285",NA
"62","Angola","SUB-SAHARAN","Yes",1980,NA,"Single","229","19","8.296943231441048E-2","First legislature of Angola after the country became independent on 11 November 1975."
"63","Angola","SUB-SAHARAN","Yes",1986,NA,"Single","289","42","0.1453287197231834","Plus 29 substitute members, 7 of whom were women"
"64","Angola","SUB-SAHARAN","Yes",1992,NA,"Single","220","21","9.5454545454545459E-2",NA
"65","Angola","SUB-SAHARAN","Yes",2008,NA,"Single","220","82","0.37272727272727274",NA
"66","Angola","SUB-SAHARAN","Yes",2012,"september","Single","220","75","0.34090909090909088",NA
"67","Angola","SUB-SAHARAN","Yes",2017,"August","Single","220","68","0.30909090909090908",NA
"68","Antigua and Barbuda","AME","Yes",1984,NA,"Lower","17","0","0","First legislature of Antigua and Barbuda after the country became independent on 1 November 1981; All members of the House of Representatives were appointed"
"69","Antigua and Barbuda","AME","Yes",1984,NA,"Upper","17","2","0.11764705882352941","First legislature of Antigua and Barbuda after the country became independent on 1 November 1981;"
"70","Antigua and Barbuda","AME","Yes",1989,NA,"Lower","17","0","0","All members of the House of Representatives were appointed."
"71","Antigua and Barbuda","AME","Yes",1989,NA,"Upper","17","1","5.8823529411764705E-2",NA
"72","Antigua and Barbuda","AME","Yes",1992,NA,"Upper","17","2","0.11764705882352941",NA
"73","Antigua and Barbuda","AME","Yes",1994,NA,"Lower","19","1","5.2631578947368418E-2","First time members were elected. However, the first female member of the House of Representatives was co-opted on appointment by the Government."
"74","Antigua and Barbuda","AME","Yes",1994,NA,"Upper","17","3","0.17647058823529413",NA
"75","Antigua and Barbuda","AME","Yes",1999,NA,"Lower","19","1","5.2631578947368418E-2",NA
"76","Antigua and Barbuda","AME","Yes",1999,NA,"Upper","17","2","0.11764705882352941",NA
"77","Antigua and Barbuda","AME","Yes",2004,NA,"Lower","19","2","0.10526315789473684",NA
"78","Antigua and Barbuda","AME","Yes",2004,NA,"Upper","17","3","0.17647058823529413",NA
"79","Antigua and Barbuda","AME","Yes",2009,NA,"Lower","19","2","0.10526315789473684","Elections were held for all elective seats in the House of Representatives on the normal expiry of the members' term of office."
"80","Antigua and Barbuda","AME","Yes",2009,NA,"Upper","17","5","0.29411764705882354",NA
"81","Antigua and Barbuda","AME","Yes",2014,NA,"Lower","18","2","0.1111111111111111",NA
"82","Antigua and Barbuda","AME","Yes",2014,NA,"Upper","15","5","0.33333333333333331",NA
"83","Antigua and Barbuda","AME","Yes",2018,"March","Lower","18","2","0.1111111111111111",NA
"84","Antigua and Barbuda","AME","Yes",2018,"March","Upper","17","9","0.52941176470588236",NA
"85","Argentina","AME","Yes",1946,NA,"Lower","158","0","0",NA
"86","Argentina","AME","Yes",1946,NA,"Upper","34","0","0",NA
"87","Argentina","AME","Yes",1948,NA,"Lower","158","0","0","Election for only half the members of the House, modifying its composition."
"88","Argentina","AME","Yes",1951,NA,"Lower","155","24","0.15483870967741936",NA
"89","Argentina","AME","Yes",1951,NA,"Upper","30","6","0.2","The nominal number of seats is 34, but there were 4 vacancies at the time."
"90","Argentina","AME","Yes",1955,NA,"Lower","157","34","0.21656050955414013","Congress was dissolved following a military coup d'Etat on 16 September 1955."
"91","Argentina","AME","Yes",1955,NA,"Upper","30","6","0.2","Congress was dissolved following a military coup d'Etat on 16 September 1955."
"92","Argentina","AME","Yes",1958,NA,"Lower","184","4","2.1739130434782608E-2","102 members of house elected. The nominal number of seats is 187, but there were 3 vacancies."
"93","Argentina","AME","Yes",1958,NA,"Upper","42","0","0","Election of 102 of the 192 members of the House, modifying its composition. The nominal number of seats is 46, but there were 4 vacancies at the time. Congress was dissolved some six months after the military coup d'Etat of March 1962."
"94","Argentina","AME","Yes",1960,NA,"Lower","190","2","1.0526315789473684E-2","Election of 102 of the 192 members of the House, modifying its composition.  Congress was dissolved some six months after the military coup d'Etat of March 1962."
"95","Argentina","AME","Yes",1963,NA,"Lower","192","1","5.208333333333333E-3","The nominal number of seats is 194, but there were 2 vacancies at the time."
"96","Argentina","AME","Yes",1963,NA,"Upper","46","0","0","Congress was dissolved following a military coup d'Etat on 28 June 1966."
"97","Argentina","AME","Yes",1965,NA,"Lower","192","4","2.0833333333333332E-2","Election for only half of the members of the House, modifying its composition. The nominal number of seats is 194, but there were 2 vacancies at the time. Congress was dissolved following a military coup d'Etat on 28 June 1966."
"98","Argentina","AME","Yes",1973,NA,"Lower","243","19","7.8189300411522639E-2","Congress was dissolved following a military coup d'Etat on 24 March 1976."
"99","Argentina","AME","Yes",1973,NA,"Upper","69","3","4.3478260869565216E-2","Congress was dissolved following a military coup d'Etat on 24 March 1976."
"100","Argentina","AME","Yes",1983,NA,"Lower","254","10","3.937007874015748E-2",NA
"101","Argentina","AME","Yes",1983,NA,"Upper","46","3","6.5217391304347824E-2",NA
"102","Argentina","AME","Yes",1985,NA,"Lower","254","10","3.937007874015748E-2",NA
"103","Argentina","AME","Yes",1986,NA,"Upper","46","3","6.5217391304347824E-2",NA
"104","Argentina","AME","Yes",1987,NA,"Lower","254","12","4.7244094488188976E-2",NA
"105","Argentina","AME","Yes",1989,NA,"Lower","254","16","6.2992125984251968E-2",NA
"106","Argentina","AME","Yes",1989,NA,"Upper","46","4","8.6956521739130432E-2",NA
"107","Argentina","AME","Yes",1991,NA,"Lower","257","15","5.8365758754863814E-2",NA
"108","Argentina","AME","Yes",1992,NA,"Lower","257","37","0.14396887159533073",NA
"109","Argentina","AME","Yes",1993,NA,"Upper","46","4","8.6956521739130432E-2","A Constituent Assembly was set up on 10 April 1994, comprising 305 members, including 81 women: 26.5%."
"110","Argentina","AME","Yes",1995,NA,"Lower","257","65","0.25291828793774318","Election for 127 members of the House."
"111","Argentina","AME","Yes",1995,NA,"Upper","72","2","2.7777777777777776E-2","Partial renewal of one third of the seats in the Senate."
"112","Argentina","AME","Yes",1997,"December","Lower","257","71","0.27626459143968873",NA
"113","Argentina","AME","Yes",1999,NA,"Lower","257","68","0.26459143968871596","Election for 127 members of the House."
"114","Argentina","AME","Yes",1999,NA,"Upper","72","2","2.7777777777777776E-2","Partial renewal of one third of the seats in the Senate."
"115","Argentina","AME","Yes",2001,NA,"Lower","257","79","0.30739299610894943","Election for 127 members of the House."
"116","Argentina","AME","Yes",2001,NA,"Upper","72","24","0.33333333333333331",NA
"117","Argentina","AME","Yes",2005,NA,"Lower","257","93","0.36186770428015563","Election for 127 members of the House. 47 women were elected."
"118","Argentina","AME","Yes",2005,NA,"Upper","72","30","0.41666666666666669","Senate: 24 seats up for election,"
"119","Argentina","AME","Yes",2007,NA,"Lower","255","102","0.4","Election for 130 members of the House."
"120","Argentina","AME","Yes",2007,"May","Upper","72","28","0.3888888888888889",NA
"121","Argentina","AME","Yes",2009,"June-- August","Lower","257","107","0.41634241245136189","Election for 127 members of the House. 47 women were elected."
"122","Argentina","AME","Yes",2009,"June - December","Lower","257","99","0.38521400778210119",NA
"123","Argentina","AME","Yes",2009,"June- august","Upper","72","27","0.375",NA
"124","Argentina","AME","Yes",2009,"June- December","Upper","71","25","0.352112676056338",NA
"125","Argentina","AME","Yes",2011,NA,"Lower","257","96","0.37354085603112841","Elections were held to renew one-half of the seats (130) in the Chamber of Deputies on the normal expiry of the members' term of office. At stake in the 2011 elections were 130 of the 257 seats in the Chamber of Deputies and 24 of the 72 seats in the Senate. Parliamentary elections were held in parallel with presidential polls."
"126","Argentina","AME","Yes",2011,NA,"Upper","72","28","0.3888888888888889",NA
"127","Argentina","AME","Yes",2013,"january","Lower","257","96","0.37354085603112841","one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal"
"128","Argentina","AME","Yes",2013,"january","Upper","72","28","0.3888888888888889","one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal"
"129","Argentina","AME","Yes",2015,NA,"Lower","257","92","0.35797665369649806","one-half of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal"
"130","Argentina","AME","Yes",2015,NA,"Upper","72","30","0.41666666666666669","one-third of the membership is renewed every 2 years. The figures reflect total membership after the partial renewal"
"131","Argentina","AME","Yes",2017,NA,"Lower","257","98","0.38132295719844356",NA
"132","Argentina","AME","Yes",2017,NA,"Upper","72","30","0.41666666666666669",NA
"133","Armenia","ASIA","Yes",1990,NA,"Single","244","9","3.6885245901639344E-2","The Soviet Supreme of the SSR of Armenia became, under the name of Supreme Council (Khordrdaran) the first legislature of Armenia after the country became independent on 21 September 1991. Armenian women were previously elected to the Soviet Supreme of the SSR of Armenia (see below) and to the Parliament of the USSR."
"134","Armenia","ASIA","Yes",1995,NA,"Single","190","12","6.3157894736842107E-2",NA
"135","Armenia","ASIA","Yes",1999,NA,"Single","131","4","3.0534351145038167E-2",NA
"136","Armenia","ASIA","Yes",2003,NA,"Single","131","6","4.5801526717557252E-2",NA
"137","Armenia","ASIA","Yes",2007,"May- June","Single","130","12","9.2307692307692313E-2",NA
"138","Armenia","ASIA","Yes",2007,"May- September","Single","131","12","9.1603053435114504E-2",NA
"139","Armenia","ASIA","Yes",2012,NA,"Single","131","14","0.10687022900763359",NA
"140","Armenia","EUR","Yes",2017,"april","Single","105","18","0.17142857142857143",NA
"141","Armenia","EUR","Yes",2018,"December","Single","132","32","0.24242424242424243",NA
"142","Australia","PAC","Yes",1946,NA,"Lower","75","2","2.6666666666666668E-2",NA
"143","Australia","PAC","Yes",1946,NA,"Upper","36","2","5.5555555555555552E-2",NA
"144","Australia","PAC","Yes",1949,NA,"Lower","123","1","8.130081300813009E-3",NA
"145","Australia","PAC","Yes",1949,NA,"Upper","60","4","6.6666666666666666E-2",NA
"146","Australia","PAC","Yes",1951,NA,"Lower","123","0","0",NA
"147","Australia","PAC","Yes",1951,NA,"Upper","60","4","6.6666666666666666E-2",NA
"148","Australia","PAC","Yes",1953,NA,"Upper","60","4","6.6666666666666666E-2",NA
"149","Australia","PAC","Yes",1954,NA,"Lower","123","0","0",NA
"150","Australia","PAC","Yes",1955,NA,"Lower","124","0","0",NA
"151","Australia","PAC","Yes",1955,NA,"Upper","60","5","8.3333333333333329E-2",NA
"152","Australia","PAC","Yes",1958,NA,"Lower","124","0","0",NA
"153","Australia","PAC","Yes",1958,NA,"Upper","60","5","8.3333333333333329E-2",NA
"154","Australia","PAC","Yes",1961,NA,"Lower","124","0","0",NA
"155","Australia","PAC","Yes",1961,NA,"Upper","60","5","8.3333333333333329E-2",NA
"156","Australia","PAC","Yes",1963,NA,"Lower","124","0","0",NA
"157","Australia","PAC","Yes",1964,NA,"Upper","60","4","6.6666666666666666E-2",NA
"158","Australia","PAC","Yes",1966,NA,"Lower","124","1","8.0645161290322578E-3",NA
"159","Australia","PAC","Yes",1966,NA,"Upper","60","4","6.6666666666666666E-2",NA
"160","Australia","PAC","Yes",1967,NA,"Upper","60","3","0.05",NA
"161","Australia","PAC","Yes",1969,NA,"Lower","125","0","0",NA
"162","Australia","PAC","Yes",1970,NA,"Upper","60","2","3.3333333333333333E-2",NA
"163","Australia","PAC","Yes",1972,NA,"Lower","125","0","0",NA
"164","Australia","PAC","Yes",1974,NA,"Lower","127","1","7.874015748031496E-3",NA
"165","Australia","PAC","Yes",1974,NA,"Upper","60","4","6.6666666666666666E-2",NA
"166","Australia","PAC","Yes",1975,NA,"Lower","127","0","0",NA
"167","Australia","PAC","Yes",1975,NA,"Upper","64","6","9.375E-2",NA
"168","Australia","PAC","Yes",1977,NA,"Lower","124","0","0",NA
"169","Australia","PAC","Yes",1977,NA,"Upper","64","6","9.375E-2",NA
"170","Australia","PAC","Yes",1980,NA,"Lower","125","3","2.4E-2",NA
"171","Australia","PAC","Yes",1980,NA,"Upper","64","9","0.140625",NA
"172","Australia","PAC","Yes",1983,NA,"Lower","125","6","4.8000000000000001E-2",NA
"173","Australia","PAC","Yes",1983,NA,"Upper","64","13","0.203125",NA
"174","Australia","PAC","Yes",1984,NA,"Lower","148","8","5.4054054054054057E-2",NA
"175","Australia","PAC","Yes",1984,NA,"Upper","76","14","0.18421052631578946",NA
"176","Australia","PAC","Yes",1987,NA,"Lower","148","9","6.0810810810810814E-2",NA
"177","Australia","PAC","Yes",1987,NA,"Upper","76","17","0.22368421052631579",NA
"178","Australia","PAC","Yes",1990,NA,"Lower","148","10","6.7567567567567571E-2",NA
"179","Australia","PAC","Yes",1990,NA,"Upper","76","18","0.23684210526315788",NA
"180","Australia","PAC","Yes",1993,NA,"Lower","147","13","8.8435374149659865E-2",NA
"181","Australia","PAC","Yes",1993,NA,"Upper","76","16","0.21052631578947367",NA
"182","Australia","PAC","Yes",1996,NA,"Lower","148","23","0.1554054054054054",NA
"183","Australia","PAC","Yes",1996,NA,"Upper","76","23","0.30263157894736842",NA
"184","Australia","PAC","Yes",1997,NA,"Upper","76","23","0.30263157894736842",NA
"185","Australia","PAC","Yes",1998,NA,"Lower","148","32","0.21621621621621623",NA
"186","Australia","PAC","Yes",1998,NA,"Upper","76","22","0.28947368421052633","Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
"187","Australia","PAC","Yes",2001,NA,"Lower","150","38","0.25333333333333335",NA
"188","Australia","PAC","Yes",2001,NA,"Upper","76","23","0.30263157894736842","Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
"189","Australia","PAC","Yes",2004,NA,"Lower","150","37","0.24666666666666667",NA
"190","Australia","PAC","Yes",2004,NA,"Upper","76","27","0.35526315789473684","Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years. 14 women elected out of the 40 renewed seats."
"191","Australia","PAC","Yes",2007,"November","Lower","150","40","0.26666666666666666",NA
"192","Australia","PAC","Yes",2007,NA,"Upper","76","27","0.35526315789473684","Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
"193","Australia","PAC","Yes",2010,NA,"Lower","150","37","0.24666666666666667",NA
"194","Australia","PAC","Yes",2010,NA,"Upper","76","29","0.38157894736842107","Half the membership renewed every 3 years, except for the 4 senators representing federal territories, who are elected for a maximum of 3 years."
"195","Australia","PAC","Yes",2013,"january","Lower","150","37","0.24666666666666667",NA
"196","Australia","PAC","Yes",2013,NA,"Upper","75","31","0.41333333333333333",NA
"197","Australia","PAC","Yes",2013,"january","Upper","76","29","0.38157894736842107",NA
"198","Australia","PAC","Yes",2016,NA,"Lower","150","40","0.26666666666666666",NA
"199","Australia","PAC","Yes",2016,"july","Lower","150","43","0.28666666666666668",NA
"200","Australia","PAC","Yes",2016,NA,"Upper","76","28","0.36842105263157893","One half of the senators are renewed every three years, except for the four senators representing the federal territories (territory senators), who are elected for a maximum of three years."
"201","Austria","EUR","Yes",1945,NA,"Lower","165","9","5.4545454545454543E-2",NA
"202","Austria","EUR","Yes",1949,NA,"Lower","165","8","4.8484848484848485E-2",NA
"203","Austria","EUR","Yes",1953,NA,"Lower","165","9","5.4545454545454543E-2",NA
"204","Austria","EUR","Yes",1956,NA,"Lower","165","8","4.8484848484848485E-2",NA
"205","Austria","EUR","Yes",1959,NA,"Lower","165","9","5.4545454545454543E-2",NA
"206","Austria","EUR","Yes",1962,NA,"Lower","165","9","5.4545454545454543E-2",NA
"207","Austria","EUR","Yes",1966,NA,"Lower","165","9","5.4545454545454543E-2",NA
"208","Austria","EUR","Yes",1970,NA,"Lower","165","8","4.8484848484848485E-2",NA
"209","Austria","EUR","Yes",1971,NA,"Lower","183","11","6.0109289617486336E-2",NA
"210","Austria","EUR","Yes",1975,NA,"Lower","183","14","7.650273224043716E-2",NA
"211","Austria","EUR","Yes",1979,NA,"Lower","183","18","9.8360655737704916E-2",NA
"212","Austria","EUR","Yes",1983,NA,"Lower","183","17","9.2896174863387984E-2",NA
"213","Austria","EUR","Yes",1986,NA,"Lower","183","21","0.11475409836065574",NA
"214","Austria","EUR","Yes",1990,NA,"Lower","183","36","0.19672131147540983",NA
"215","Austria","EUR","Yes",1994,NA,"Lower","183","40","0.21857923497267759",NA
"216","Austria","EUR","Yes",1995,NA,"Lower","183","49","0.26775956284153007",NA
"217","Austria","EUR","Yes",1999,NA,"Lower","183","49","0.26775956284153007",NA
"218","Austria","EUR","Yes",2002,NA,"Lower","183","62","0.33879781420765026",NA
"219","Austria","EUR","Yes",2006,NA,"Lower","183","59","0.32240437158469948",NA
"220","Austria","EUR","Yes",2008,NA,"Lower","183","50","0.27322404371584702","Elections were held for all the seats in the National Council following premature dissolution of this body on 9 July 2008. Elections to the National Council had previously taken place on 1 October 2006."
"221","Austria","EUR","Yes",2013,"january","Lower","183","51","0.27868852459016391",NA
"222","Austria","EUR","Yes",2013,"October","Lower","183","61","0.33333333333333331",NA
"223","Austria","EUR","Yes",2017,"October","Lower","183","63","0.34426229508196721",NA
"224","Austria","EUR","Continuous Renewal",1945,NA,"Upper","49","0","0","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"225","Austria","EUR","Continuous Renewal",1946,NA,"Upper","49","0","0","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"226","Austria","EUR","Continuous Renewal",1947,NA,"Upper","49","0","0","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"227","Austria","EUR","Continuous Renewal",1948,NA,"Upper","49","0","0","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"228","Austria","EUR","Continuous Renewal",1949,NA,"Upper","48","1","2.0833333333333332E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"229","Austria","EUR","Continuous Renewal",1950,NA,"Upper","48","1","2.0833333333333332E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"230","Austria","EUR","Continuous Renewal",1951,NA,"Upper","48","1","2.0833333333333332E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"231","Austria","EUR","Continuous Renewal",1952,NA,"Upper","48","1","2.0833333333333332E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"232","Austria","EUR","Continuous Renewal",1953,NA,"Upper","45","1","2.2222222222222223E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"233","Austria","EUR","Continuous Renewal",1954,NA,"Upper","45","1","2.2222222222222223E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"234","Austria","EUR","Continuous Renewal",1955,NA,"Upper","45","1","2.2222222222222223E-2","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"235","Austria","EUR","Continuous Renewal",1956,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"236","Austria","EUR","Continuous Renewal",1957,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"237","Austria","EUR","Continuous Renewal",1958,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"238","Austria","EUR","Continuous Renewal",1959,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"239","Austria","EUR","Continuous Renewal",1960,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"240","Austria","EUR","Continuous Renewal",1961,NA,"Upper","48","6","0.125","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"241","Austria","EUR","Continuous Renewal",1962,NA,"Upper","51","7","0.13725490196078433","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"242","Austria","EUR","Continuous Renewal",1963,NA,"Upper","51","7","0.13725490196078433","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"243","Austria","EUR","Continuous Renewal",1964,NA,"Upper","51","7","0.13725490196078433","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
"244","Austria","EUR","Continuous Renewal",1965,NA,"Upper","51","7","0.13725490196078433","Indirectly elected; dates of elections vary according to the province. The numbers given refer to the sitting following the Lower House elections"
